Report Information
Report ID,terminal_report_1767945495343
Report Name,"Terminal Output Report (1/9/2026, 1:28:15 PM)"
Description,Generated from current terminal session with 165 requests
Version,1.0.0
Author,UDS Simulator
Tags,"terminal, live-session"

Summary Statistics
Total Requests,165
Total Responses,165
Successful Responses,136
Negative Responses (NRC),29
Success Rate (%),82.42
Test Duration,2m 45s
Start Time,"12/17/2024, 11:56:40 PM"
End Time,"12/17/2024, 11:59:25 PM"

NRC Breakdown
NRC Code,Description,Count,Percentage (%)
0x70,Upload/Download Not Accepted,4,13.79
0x33,Security Access Denied,2,6.90
0x13,Incorrect Message Length,4,13.79
0x31,Request Out of Range,17,58.62
0x22,Conditions Not Correct,2,6.90


Test Log (Detailed Request/Response Data)
Index,Timestamp,Request SID,Request SubFunction,Request Data,Request Description,Response SID,Response Data,Response Status,NRC Code,NRC Description,Duration (ms)
1,"12/17/2024, 11:56:40 PM",0x10,0x01,,[SETUP] Reset to Default Session,0x10,50 01 00 32 01 F4,Success,,,33484306642.00
2,"12/17/2024, 11:56:41 PM",0x34,,00 44 00 10 00 00 00 00 10 00,TC-01: Request Download in DEFAULT session - Expect NRC 0x70 (not PROGRAMMING),0x34,7F 34 70,NRC,0x70,Upload/Download Not Accepted,33484306671.00
3,"12/17/2024, 11:56:42 PM",0x10,0x01,,[SETUP] Reset to Default for TC-02,0x10,50 01 00 32 01 F4,Success,,,33484306932.00
4,"12/17/2024, 11:56:43 PM",0x10,0x03,,TC-02.1: Switch to EXTENDED session,0x10,50 03 00 64 01 F4,Success,,,33484306970.00
5,"12/17/2024, 11:56:44 PM",0x34,,00 44 00 10 00 00 00 00 10 00,TC-02.2: Request Download in EXTENDED session - Expect NRC 0x70 (needs PROGRAMMING),0x34,7F 34 70,NRC,0x70,Upload/Download Not Accepted,33484307538.00
6,"12/17/2024, 11:56:45 PM",0x10,0x01,,[SETUP] Reset to Default for TC-03,0x10,50 01 00 32 01 F4,Success,,,33484307567.00
7,"12/17/2024, 11:56:46 PM",0x10,0x02,,TC-03.1: Switch to PROGRAMMING session,0x10,50 02 00 32 01 F4,Success,,,33484307610.00
8,"12/17/2024, 11:56:47 PM",0x34,,00 44 00 10 00 00 00 00 10 00,TC-03.2: Request Download without security unlock - Expect NRC 0x33,0x34,7F 34 33,NRC,0x33,Security Access Denied,33484307647.00
9,"12/17/2024, 11:56:48 PM",0x10,0x01,,[SETUP] Reset to Default for TC-04,0x10,50 01 00 32 01 F4,Success,,,33484307686.00
10,"12/17/2024, 11:56:49 PM",0x10,0x02,,TC-04.1: Switch to PROGRAMMING session,0x10,50 02 00 32 01 F4,Success,,,33484307725.00
11,"12/17/2024, 11:56:50 PM",0x27,0x01,,TC-04.2: Request seed for security,0x27,67 01 12 34 56 78,Success,,,33484307781.00
12,"12/17/2024, 11:56:51 PM",0x27,0x02,B7 6E A6 77,TC-04.3: Send key to unlock security,0x27,67 02,Success,,,33484307825.00
13,"12/17/2024, 11:56:52 PM",0x34,,00 44 00 10 00 00 00 00 10 00,"TC-04.4: Valid Request Download: DFI=0x00, ALFID=0x44, Addr=0x00100000, Size=0x1000 - Expect Success (0x74)",0x34,74 20 10 00,Success,,,33484307878.00
14,"12/17/2024, 11:56:53 PM",0x37,,,TC-04.5: Transfer Exit to complete download,0x37,77,Success,,,33484307926.00
15,"12/17/2024, 11:56:54 PM",0x10,0x01,,[SETUP] Reset to Default for TC-05,0x10,50 01 00 32 01 F4,Success,,,33484307971.00
16,"12/17/2024, 11:56:55 PM",0x10,0x02,,TC-05.1: Switch to PROGRAMMING session,0x10,50 02 00 32 01 F4,Success,,,33484308021.00
17,"12/17/2024, 11:56:56 PM",0x27,0x01,,TC-05.2: Request seed,0x27,67 01 12 34 56 78,Success,,,33484308075.00
18,"12/17/2024, 11:56:57 PM",0x27,0x02,B7 6E A6 77,TC-05.3: Send key,0x27,67 02,Success,,,33484308128.00
19,"12/17/2024, 11:56:58 PM",0x34,,00 33 10 00 00 00 10 00,"TC-05.4: Valid Download with ALFID=0x33 (3-byte addr + 3-byte size), Addr=0x100000, Size=0x1000 - Expect Success",0x34,74 20 10 00,Success,,,33484308931.00
20,"12/17/2024, 11:56:59 PM",0x37,,,TC-05.5: Transfer Exit,0x37,77,Success,,,33484309979.00
21,"12/17/2024, 11:57:00 PM",0x10,0x01,,[SETUP] Reset to Default for TC-06,0x10,50 01 00 32 01 F4,Success,,,33484310985.00
22,"12/17/2024, 11:57:01 PM",0x10,0x02,,TC-06.1: Switch to PROGRAMMING session,0x10,50 02 00 32 01 F4,Success,,,33484311934.00
23,"12/17/2024, 11:57:02 PM",0x27,0x01,,TC-06.2: Request seed,0x27,67 01 12 34 56 78,Success,,,33484312978.00
24,"12/17/2024, 11:57:03 PM",0x27,0x02,B7 6E A6 77,TC-06.3: Send key,0x27,67 02,Success,,,33484314014.00
25,"12/17/2024, 11:57:04 PM",0x34,,00 44 00 10,"TC-06.4: Insufficient bytes (ALFID 0x44 expects 8 bytes, only 2 provided) - Expect NRC 0x13",0x34,7F 34 13,NRC,0x13,Incorrect Message Length,33484315928.00
26,"12/17/2024, 11:57:05 PM",0x10,0x01,,[SETUP] Reset to Default for TC-07,0x10,50 01 00 32 01 F4,Success,,,33484317923.00
27,"12/17/2024, 11:57:06 PM",0x10,0x02,,TC-07.1: Switch to PROGRAMMING session,0x10,50 02 00 32 01 F4,Success,,,33484318934.00
28,"12/17/2024, 11:57:07 PM",0x27,0x01,,TC-07.2: Request seed,0x27,67 01 12 34 56 78,Success,,,33484320921.00
29,"12/17/2024, 11:57:08 PM",0x27,0x02,B7 6E A6 77,TC-07.3: Send key,0x27,67 02,Success,,,33484322008.00
30,"12/17/2024, 11:57:09 PM",0x34,,00 40,"TC-07.4: Invalid ALFID=0x40 with insufficient message (only 2 bytes, expects 6) - Expect NRC 0x13",0x34,7F 34 13,NRC,0x13,Incorrect Message Length,33484323000.00
31,"12/17/2024, 11:57:10 PM",0x10,0x01,,[SETUP] Reset to Default for TC-08,0x10,50 01 00 32 01 F4,Success,,,33484323991.00
32,"12/17/2024, 11:57:11 PM",0x10,0x02,,TC-08.1: Switch to PROGRAMMING session,0x10,50 02 00 32 01 F4,Success,,,33484324932.00
33,"12/17/2024, 11:57:12 PM",0x27,0x01,,TC-08.2: Request seed,0x27,67 01 12 34 56 78,Success,,,33484325994.00
34,"12/17/2024, 11:57:13 PM",0x27,0x02,B7 6E A6 77,TC-08.3: Send key,0x27,67 02,Success,,,33484327016.00
35,"12/17/2024, 11:57:14 PM",0x34,,00 44 FF FF 00 00 00 00 10 00,TC-08.4: Invalid address 0xFFFF0000 (outside all regions) - Expect NRC 0x31,0x34,7F 34 31,NRC,0x31,Request Out of Range,33484328016.00
36,"12/17/2024, 11:57:15 PM",0x10,0x01,,[SETUP] Reset to Default for TC-09,0x10,50 01 00 32 01 F4,Success,,,33484329933.00
37,"12/17/2024, 11:57:16 PM",0x10,0x02,,TC-09.1: Switch to PROGRAMMING session,0x10,50 02 00 32 01 F4,Success,,,33484330933.00
38,"12/17/2024, 11:57:17 PM",0x27,0x01,,TC-09.2: Request seed,0x27,67 01 12 34 56 78,Success,,,33484332016.00
39,"12/17/2024, 11:57:18 PM",0x27,0x02,B7 6E A6 77,TC-09.3: Send key,0x27,67 02,Success,,,33484333037.00
40,"12/17/2024, 11:57:19 PM",0x34,,00 44 00 40 00 00 00 00 01 00,TC-09.4: Protected bootloader region at 0x00400000 (protected=true) - Expect NRC 0x31,0x34,7F 34 31,NRC,0x31,Request Out of Range,33484334020.00
41,"12/17/2024, 11:57:20 PM",0x10,0x01,,[SETUP] Reset to Default for TC-10,0x10,50 01 00 32 01 F4,Success,,,33484335031.00
42,"12/17/2024, 11:57:21 PM",0x10,0x02,,TC-10.1: Switch to PROGRAMMING session,0x10,50 02 00 32 01 F4,Success,,,33484336923.00
43,"12/17/2024, 11:57:22 PM",0x27,0x01,,TC-10.2: Request seed,0x27,67 01 12 34 56 78,Success,,,33484338024.00
44,"12/17/2024, 11:57:23 PM",0x27,0x02,B7 6E A6 77,TC-10.3: Send key,0x27,67 02,Success,,,33484339025.00
45,"12/17/2024, 11:57:24 PM",0x34,,00 44 00 30 00 00 00 00 01 00,TC-10.4: Non-writable RAM region at 0x00300000 (writable=false) - Expect NRC 0x31,0x34,7F 34 31,NRC,0x31,Request Out of Range,33484340934.00
